阿根廷	a gen ting
开拓	kai tuo
开拓创新	kai tuo chuang xin
开心	kai xin
开业	kai ye
开展	kai zhan
开展工作	kai zhan gong zuo
开展了	kai zhan le
开支	kai zhi
看不到	kan bu dao
堪称	kan cheng
看出	kan chu
看待	kan dai
看到	kan dao
看到了	kan dao le
看的	kan de
看得	kan de
刊登	kan deng
看法	kan fa
看过	kan guo
看好	kan hao
看见	kan jian
看来	kan lai
看了	kan le
看了看	kan le kan
看你	kan ni
看起来	kan qi lai
看上去	kan shang qu
看书	kan shu
看似	kan si
看他	kan ta
看她	kan ta
看完	kan wan
看我	kan wo
刊物	kan wu
看着	kan zhe
看着他	kan zhe ta
看着我	kan zhe wo
看作	kan zuo
康复	kang fu
慷慨	kang kai
抗日	kang ri
抗生素	kang sheng su
抗体	kang ti
康熙	kang xi
拷贝	kao bei
考场	kao chang
考点	kao dian
考古	kao gu
考核	kao he
靠近	kao jin
考虑	kao lv
考虑到	kao lv dao
考评	kao ping
考前	kao qian
烤肉	kao rou
考生	kao sheng
考试	kao shi
考试成绩	kao shi cheng ji
考验	kao yan
考研	kao yan
考证	kao zheng
可爱	ke ai
可按	ke an
课本	ke ben
可不	ke bu
客车	ke che
课程	ke cheng
可达	ke da
客房	ke fang
可分为	ke fen wei
客服	ke fu
克服	ke fu
客服电话	ke fu dian hua
客服热线	ke fu re xian
可根据	ke gen ju
可供	ke gong
客观	ke guan
客户	ke hu
客户端	ke hu duan
客户服务	ke hu fu wu
科技	ke ji
科技成果	ke ji cheng guo
科技创新	ke ji chuang xin
科技进步	ke ji jin bu
可见	ke jian
课件	ke jian
可将	ke jiang
可就	ke jiu
可靠	ke kao
可靠的	ke kao de
可靠性	ke kao xing
可口可乐	ke kou ke le
可乐	ke le
颗粒	ke li
可怜	ke lian
克隆	ke long
刻录	ke lu
科目	ke mu
可能	ke neng
可能的	ke neng de
可能会	ke neng hui
可能是	ke neng shi
可能性	ke neng xing
可能因	ke neng yin
可能有	ke neng you
可能在	ke neng zai
可怕	ke pa
科普	ke pu
客人	ke ren
客商	ke shang
可是	ke shi
课时	ke shi
可使	ke shi
科室	ke shi
可是我	ke shi wo
咳嗽	ke sou
课堂	ke tang
课堂教学	ke tang jiao xue
课题	ke ti
可调	ke tiao
客厅	ke ting
可通过	ke tong guo
渴望	ke wang
可为	ke wei
可谓	ke wei
课文	ke wen
可我	ke wo
可惜	ke xi
可向	ke xiang
可行	ke xing
可行性	ke xing xing
可选	ke xuan
可选择	ke xuan ze
科学	ke xue
科学技术	ke xue ji shu
科学家	ke xue jia
科学研究	ke xue yan jiu
科学院	ke xue yuan
科研	ke yan
可以	ke yi
刻意	ke yi
可以把	ke yi ba
可以从	ke yi cong
可以根据	ke yi gen ju
可以看出	ke yi kan chu
可以看到	ke yi kan dao
可以去	ke yi qu
可以让	ke yi rang
可以使	ke yi shi
可以实现	ke yi shi xian
可以使用	ke yi shi yong
可以说	ke yi shuo
可以说是	ke yi shuo shi
可以通过	ke yi tong guo
可以向	ke yi xiang
可以选择	ke yi xuan ze
可以用	ke yi yong
可以直接	ke yi zhi jie
可用	ke yong
可用于	ke yong yu
可由	ke you
可与	ke yu
客运	ke yun
可在	ke zai
可直接	ke zhi jie
可作	ke zuo
肯定	ken ding
肯定会	ken ding hui
肯定是	ken ding shi
空白	kong bai
恐怖	kong bu
空格	kong ge
控股	kong gu
空间	kong jian
控件	kong jian
恐惧	kong ju
空军	kong jun
恐怕	kong pa
空气	kong qi
空前	kong qian
空调	kong tiao
控制	kong zhi
控制面板	kong zhi mian ban
控制器	kong zhi qi
控制系统	kong zhi xi tong
控制在	kong zhi zai
空中	kong zhong
孔子	kong zi
口岸	kou an
口碑	kou bei
扣除	kou chu
口袋	kou dai
口服	kou fu
口号	kou hao
口令	kou ling
口气	kou qi
口腔	kou qiang
口头	kou tou
口味	kou wei
口语	kou yu
口中	kou zhong
库存	ku cun
哭了	ku le
哭泣	ku qi
苦笑	ku xiao
裤子	ku zi
跨国	kua guo
跨国公司	kua guo gong si
跨越	kua yue
夸张	kua zhang
快递	kuai di
快点	kuai dian
快感	kuai gan
会计	kuai ji
快捷	kuai jie
快乐	kuai le
快乐的	kuai le de
块钱	kuai qian
快速	kuai su
快速发展	kuai su fa zhan
快速回复	kuai su hui fu
快速增长	kuai su zeng zhang
宽带	kuan dai
宽度	kuan du
宽容	kuan rong
款式	kuan shi
款项	kuan xiang
矿产资源	kuang chan zi yuan
框架	kuang jia
况且	kuang qie
矿山	kuang shan
亏损	kui sun
捆绑	kun bang
困惑	kun huo
困境	kun jing
昆明	kun ming
困难	kun nan
困扰	kun rao
扩充	kuo chong
扩大	kuo da
扩建	kuo jian
扩散	kuo san
扩展	kuo zhan
扩张	kuo zhang
喇叭	la ba
拉动	la dong
垃圾	la ji
垃圾邮件	la ji you jian
辣椒	la jiao
拉开	la kai
拉萨	la sa
落下	la xia
落在	la zai
拉着	la zhe
蜡烛	la zhu
来吧	lai ba
来到	lai dao
来到了	lai dao le
来电	lai dian
来访	lai fang
来回	lai hui
来讲	lai jiang
来看	lai kan
来了	lai le
来临	lai lin
来实现	lai shi xian
来说	lai shuo
来完成	lai wan cheng
来信	lai xin
来源	lai yuan
来源于	lai yuan yu
来自	lai zi
来自于	lai zi yu
来做	lai zuo
栏目	lan mu
篮球	lan qiu
蓝色	lan se
蓝天	lan tian
蓝牙	lan ya
兰州	lan zhou
浪费	lang fei
浪漫	lang man
老百姓	lao bai xing
老板	lao ban
老大	lao da
劳动	lao dong
劳动保障	lao dong bao zhang
劳动关系	lao dong guan xi
劳动合同	lao dong he tong
劳动力	lao dong li
劳动者	lao dong zhe
老公	lao gong
牢固	lao gu
老虎	lao hu
老虎机	lao hu ji
老化	lao hua
牢记	lao ji
老家	lao jia
老年	lao nian
老年人	lao nian ren
老婆	lao po
老人	lao ren
老师	lao shi
老是	lao shi
老鼠	lao shu
老头	lao tou
劳务	lao wu
老子	lao zi
老总	lao zong
了吧	le ba
乐观	le guan
乐趣	le qu
乐园	le yuan
类别	lei bie
雷达	lei da
累计	lei ji
累积	lei ji
累了	lei le
泪水	lei shui
类似	lei si
类似的	lei si de
类似于	lei si yu
类型	lei xing
冷静	leng jing
冷漠	leng mo
冷却	leng que
冷笑	leng xiao
离不开	li bu kai
理财	li cai
立场	li chang
里程	li cheng
历程	li cheng
历代	li dai
锂电池	li dian chi
力度	li du
立法	li fa
立方米	li fang mi
厉害	li hai
离婚	li hun
立即	li ji
丽江	li jiang
理解	li jie
历经	li jing
离开	li kai
离开了	li kai le
立刻	li ke
理科	li ke
历来	li lai
力量	li liang
理论	li lun
利率	li lv
礼貌	li mao
厘米	li mi
里面	li mian
里面有	li mian you
黎明	li ming
理念	li nian
礼品	li pin
力气	li qi
力求	li qiu
离去	li qu
例如	li ru
利润	li run
历史	li shi
理事	li shi
历时	li shi
历史的	li shi de
理事会	li shi hui
历史上	li shi shang
历史文化	li shi wen hua
立体	li ti
例外	li wai
礼物	li wu
利息	li xi
离线	li xian
李先生	li xian sheng
理想	li xiang
立项	li xiang
理想的	li xiang de
理性	li xing
利益	li yi
礼仪	li yi
利用	li yong
理由	li you
利于	li yu
力争	li zheng
理智	li zhi
离职	li zhi
例子	li zi
立足	li zu
恋爱	lian ai
联邦	lian bang
联动	lian dong
联合	lian he
联合国	lian he guo
联合会	lian he hui
莲花	lian hua
廉价	lian jia
连接	lian jie
链接	lian jie
联络	lian luo
连忙	lian mang
联盟	lian meng
恋人	lian ren
联赛	lian sai
脸色	lian se
脸上	lian shang
联手	lian shou
连锁	lian suo
连锁店	lian suo dian
联通	lian tong
连同	lian tong
联网	lian wang
联系	lian xi
练习	lian xi
联系地址	lian xi di zhi
联系电话	lian xi dian hua
联系方式	lian xi fang shi
联系人	lian xi ren
联系我们	lian xi wo men
联想	lian xiang
连续	lian xu
炼油厂	lian you chang
连载	lian zai
两岸	liang an
两边	liang bian
两侧	liang ce
两次	liang ci
两大	liang da
量大	liang da
量的	liang de
两地	liang di
亮点	liang dian
两点	liang dian
亮度	liang du
两个	liang ge
两个方面	liang ge fang mian
两个人	liang ge ren
两个月	liang ge yue
两国	liang guo
良好	liang hao
良好的	liang hao de
量化	liang hua
两集	liang ji
两极	liang ji
两级	liang ji
两家	liang jia
两句	liang ju
两款	liang kuan
两类	liang lei
两名	liang ming
两年	liang nian
两人	liang ren
粮食	liang shi
两天	liang tian
两条	liang tiao
两位	liang wei
亮相	liang xiang
两项	liang xiang
良性	liang xing
粮油	liang you
两张	liang zhang
两者	liang zhe
两只	liang zhi
两种	liang zhong
疗程	liao cheng
疗法	liao fa
了解	liao jie
了解到	liao jie dao
辽宁	liao ning
辽宁省	liao ning sheng
聊天	liao tian
聊天室	liao tian shi
疗效	liao xiao
列表	lie biao
列车	lie che
列出	lie chu
猎人	lie ren
列入	lie ru
列为	lie wei
临床	lin chuang
临近	lin jin
邻居	lin ju
林肯	lin ken
林木	lin mu
临时	lin shi
磷酸	lin suan
林业	lin ye
零部件	ling bu jian
凌晨	ling chen
领导	ling dao
领导班子	ling dao ban zi
领导干部	ling dao gan bu
领导人	ling dao ren
领导下	ling dao xia
领导小组	ling dao xiao zu
领导者	ling dao zhe
领队	ling dui
灵感	ling gan
灵魂	ling hun
灵活	ling huo
灵活性	ling huo xing
零件	ling jian
另类	ling lei
领取	ling qu
令人	ling ren
铃声	ling sheng
零售	ling shou
零售价	ling shou jia
零售商	ling shou shang
聆听	ling ting
另外	ling wai
另外一个	ling wai yi ge
令我	ling wo
领先	ling xian
另行	ling xing
领袖	ling xiu
另一	ling yi
另一方面	ling yi fang mian
另一个	ling yi ge
另一种	ling yi zhong
另有	ling you
另有规定	ling you gui ding
领域	ling yu
刘备	liu bei
流畅	liu chang
流程	liu cheng
流出	liu chu
流传	liu chuan
流动	liu dong
流动性	liu dong xing
六个	liu ge
留给	liu gei
六合彩	liu he cai
浏览	liu lan
浏览次数	liu lan ci shu
浏览器	liu lan qi
流浪	liu lang
流泪	liu lei
流量	liu liang
流氓	liu mang
六年	liu nian
流入	liu ru
流失	liu shi
六十	liu shi
流水	liu shui
流通	liu tong
留下	liu xia
留下了	liu xia le
流行	liu xing
留学	liu xue
留学生	liu xue sheng
留言	liu yan
留言板	liu yan ban
留意	liu yi
流域	liu yu
六月	liu yue
留在	liu zai
流转	liu zhuan
垄断	long duan
龙头	long tou
龙头企业	long tou qi ye
隆重	long zhong
楼层	lou ceng
露出	lou chu
漏洞	lou dong
楼盘	lou pan
楼上	lou shang
楼市	lou shi
楼梯	lou ti
楼下	lou xia
楼主	lou zhu
路边	lu bian
露出	lu chu
路段	lu duan
路过	lu guo
路径	lu jing
陆军	lu jun
路口	lu kou
路面	lu mian
录取	lu qu
录入	lu ru
路上	lu shang
路线	lu xian
录像	lu xiang
陆续	lu xu
鲁迅	lu xun
录音	lu yin
录用	lu yong
路由	lu you
路由器	lu you qi
录制	lu zhi
伦敦	lun dun
轮回	lun hui
轮廓	lun kuo
伦理	lun li
论述	lun shu
轮胎	lun tai
论坛	lun tan
论坛版主	lun tan ban zhu
论文	lun wen
论证	lun zheng
萝卜	luo bo
落地	luo di
落后	luo hou
落户	luo hu
逻辑	luo ji
罗马	luo ma
落实	luo shi
落下	luo xia
洛阳	luo yang
落在	luo zai
绿茶	lv cha
绿地	lv di
旅馆	lv guan
铝合金	lv he jin
绿化	lv hua
旅客	lv ke
绿色	lv se
绿色食品	lv se shi pin
律师	lv shi
履行	lv xing
旅行	lv xing
旅行社	lv xing she
旅游	lv you
旅游局	lv you ju
旅游业	lv you ye
旅游者	lv you zhe
略有	lve you
麻烦	ma fan
马克思	ma ke si
马来西亚	ma lai xi ya
马路	ma lu
马上	ma shang
码头	ma tou
蚂蚁	ma yi
马自达	ma zi da
麻醉药品	ma zui yao pin
卖场	mai chang
卖出	mai chu
麦当劳	mai dang lao
买到	mai dao
买的	mai de
卖点	mai dian
买房	mai fang
买方	mai fang
卖方	mai fang
买家	mai jia
卖家	mai jia
买了	mai le
买卖	mai mai
买入	mai ru
漫长	man chang
满分	man fen
漫画	man hua
满脸	man lian
馒头	man tou
慢性	man xing
蔓延	man yan
满意	man yi
满意地	man yi de
满意的	man yi de
漫游	man you
满足	man zu
忙碌	mang lu
盲目	mang mu
毛病	mao bing
矛盾	mao dun
毛巾	mao jin
茅台	mao tai
冒险	mao xian
贸易	mao yi
毛泽东	mao ze dong
毛主席	mao zhu xi
帽子	mao zi
美白	mei bai
没办法	mei ban fa
每次	mei ci
没错	mei cuo
每当	mei dang
每个	mei ge
每个人	mei ge ren
每个月	mei ge yue
每股	mei gu
美观	mei guan
没关系	mei guan xi
玫瑰	mei gui
美国	mei guo
美国人	mei guo ren
美好	mei hao
美化	mei hua
梅花	mei hua
媒介	mei jie
美金	mei jin
美景	mei jing
美军	mei jun
煤矿	mei kuang
没了	mei le
美丽	mei li
魅力	mei li
美妙	mei miao
没内存	mei nei cun
没能	mei neng
每年	mei nian
美女	mei nv
煤气	mei qi
没人	mei ren
每人	mei ren
美人	mei ren
每日	mei ri
美容	mei rong
没什么	mei shen me
美食	mei shi
没事	mei shi
美术	mei shu
煤炭	mei tan
媒体	mei ti
每天	mei tian
每位	mei wei
美味	mei wei
没问题	mei wen ti
没想到	mei xiang dao
美学	mei xue
每页	mei ye
每一	mei yi
每一次	mei yi ci
每一个	mei yi ge
没一个	mei yi ge
每一个人	mei yi ge ren
每一位	mei yi wei
没有	mei you
没有底	mei you di
没有了	mei you le
没有人	mei you ren
没有什么	mei you shen me
没油水	mei you shui
没有一个	mei you yi ge
没有注册	mei you zhu ce
美元	mei yuan
每月	mei yue
每周	mei zhou
门窗	men chuang
门的	men de
门店	men dian
门户	men hu
门户网站	men hu wang zhan
门槛	men kan
门口	men kou
门派	men pai
门票	men piao
门前	men qian
门外	men wai
门诊	men zhen
蒙古	meng gu
梦幻	meng huan
梦见	meng jian
梦想	meng xiang
梦中	meng zhong
弥补	mi bu
密度	mi du
米饭	mi fan
密封	mi feng
密集	mi ji
米兰	mi lan
密码	mi ma
秘密	mi mi
迷你	mi ni
密切	mi qie
密切相关	mi qie xiang guan
秘书	mi shu
秘书长	mi shu zhang
面板	mian ban
面包	mian bao
面部	mian bu
免除	mian chu
面对	mian dui
免费	mian fei
免费版	mian fei ban
免费软件	mian fei ruan jian
免费提供	mian fei ti gong
免费下载	mian fei xia zai
免费注册	mian fei zhu ce
面粉	mian fen
棉花	mian hua
面积	mian ji
面孔	mian kong
面料	mian liao
面临	mian lin
面临着	mian lin zhe
面貌	mian mao
面膜	mian mo
面前	mian qian
勉强	mian qiang
面上	mian shang
面试	mian shi
面谈	mian tan
面向	mian xiang
面议	mian yi
免疫	mian yi
免责声明	mian ze sheng ming
免征	mian zheng
面值	mian zhi
面子	mian zi
描绘	miao hui
描述	miao shu
描写	miao xie
民办	min ban
敏感	min gan
民工	min gong
民国	min guo
民航	min hang
民间	min jian
敏捷	min jie
民警	min jing
民生	min sheng
民事	min shi
民俗	min su
民营	min ying
民营企业	min ying qi ye
民用	min yong
民众	min zhong
民主	min zhu
民族	min zu
明白	ming bai
明白了	ming bai le
名称	ming cheng
名词	ming ci
明代	ming dai
名单	ming dan
明的	ming de
名额	ming e
名家	ming jia
名叫	ming jiao
明亮	ming liang
明了	ming liao
命令	ming ling
名录	ming lu
命名为	ming ming wei
明年	ming nian
名牌	ming pai
名片	ming pian
明确	ming que
明确的	ming que de
明确规定	ming que gui ding
名人	ming ren
名胜区	ming sheng qu
名师	ming shi
命题	ming ti
明天	ming tian
名为	ming wei
明显	ming xian
明显的	ming xian de
明星	ming xing
名义	ming yi
明月	ming yue
命运	ming yun
命中	ming zhong
明珠	ming zhu
名字	ming zi
摩擦	mo ca
魔法	mo fa
模范	mo fan
模仿	mo fang
魔鬼	mo gui
膜蛤	mo ha
膜蛤文化	mo ha wen hua
磨合	mo he
模糊	mo hu
模块	mo kuai
魔力	mo li
莫名其妙	mo ming qi miao
模拟	mo ni
默认	mo ren
陌生	mo sheng
陌生的	mo sheng de
模式	mo shi
没收	mo shou
魔兽	mo shou
磨损	mo sun
模特	mo te
摩托车	mo tuo che
摩托罗拉	mo tuo luo la
墨西哥	mo xi ge
模型	mo xing
末页	mo ye
某个	mou ge
某人	mou ren
谋杀	mou sha
某些	mou xie
某一	mou yi
某种	mou zhong
模板	mu ban
目标	mu biao
目标是	mu biao shi
木材	mu cai
牡丹	mu dan
目的	mu di
目的地	mu di di
目的是	mu di shi
木耳	mu er
母公司	mu gong si
目光	mu guang
模具	mu ju
目录	mu lu
木马	mu ma
目前	mu qian
母亲	mu qin
慕容	mu rong
模样	mu yang
沐浴	mu yu
那边	na bian
拿出	na chu
拿到	na dao
那段	na duan
那儿	na er
哪儿	na er
那份	na fen
那个	na ge
哪个	na ge
那个人	na ge ren
那个时候	na ge shi hou
那就	na jiu
那就是	na jiu shi
拿来	na lai
拿了	na le
那里	na li
哪里	na li
那里的	na li de
那么	na me
那么多	na me duo
纳米	na mi
那你	na ni
那年	na nian
哪怕	na pa
拿起	na qi
那人	na ren
纳入	na ru
那是	na shi
那时	na shi
那时候	na shi hou
纳税	na shui
纳税人	na shui ren
那天	na tian
那位	na wei
那我	na wo
那些	na xie
哪些	na xie
那样	na yang
哪一	na yi
那一刻	na yi ke
那张	na zhang
拿着	na zhe
那只	na zhi
那种	na zhong
哪种	na zhong
奶茶	nai cha
奶酪	nai lao
乃是	nai shi
耐心	nai xin
奶油	nai you
乃至	nai zhi
南北	nan bei
南部	nan bu
南昌	nan chang
难道	nan dao
难得	nan de
男的	nan de
难的	nan de
难得的	nan de de
难点	nan dian
难度	nan du
南方	nan fang
南非	nan fei
难怪	nan guai
难过	nan guo
男孩	nan hai
南海	nan hai
南京市	nan jing shi
南路	nan lu
难免	nan mian
南宁	nan ning
南宁市	nan ning shi
男女	nan nv
男朋友	nan peng you
男人	nan ren
南山	nan shan
男生	nan sheng
男士	nan shi
难受	nan shou
难题	nan ti
南通	nan tong
难忘	nan wang
男性	nan xing
难以	nan yi
男友	nan you
男子	nan zi
脑袋	nao dai
内部	nei bu
内存	nei cun
内地	nei di
内涵	nei han
内核	nei he
内蒙古	nei meng gu
内容	nei rong
内容包括	nei rong bao kuo
内容简介	nei rong jian jie
内容是	nei rong shi
内外	nei wai
内向	nei xiang
内心	nei xin
内心的	nei xin de
内衣	nei yi
内有	nei you
内在	nei zai
内置	nei zhi
能把	neng ba
能不	neng bu
能不能	neng bu neng
能从	neng cong
能对	neng dui
能否	neng fou
能给	neng gei
能够	neng gou
能够在	neng gou zai
能耗	neng hao
能和	neng he
能将	neng jiang
能力	neng li
能力建设	neng li jian she
能力强	neng li qiang
能量	neng liang
能使	neng shi
能说	neng shuo
能为	neng wei
能用	neng yong
能有	neng you
能与	neng yu
能源	neng yuan
能在	neng zai
能做	neng zuo
你啊	ni a
你把	ni ba
你必须	ni bi xu
你不	ni bu
你不是	ni bu shi
昵称	ni cheng
你的	ni de
拟定	ni ding
你都	ni dou
你对	ni dui
你还	ni hai
你好	ni hao
你和	ni he
你会	ni hui
你回	ni hui
你将	ni jiang
你就	ni jiu
你看	ni kan
你可	ni ke
你可以	ni ke yi
你来	ni lai
你们	ni men
匿名	ni ming
你能	ni neng
你去	ni qu
你认为	ni ren wei
你是	ni shi
你是否	ni shi fou
你说	ni shuo
你所	ni suo
你为什么	ni wei shen me
你我	ni wo
你喜欢	ni xi huan
你现在	ni xian zai
你想	ni xiang
你需要	ni xu yao
你要	ni yao
你也	ni ye
你一	ni yi
你一定	ni yi ding
你已经	ni yi jing
你应该	ni ying gai
你有	ni you
你又	ni you
你在	ni zai
你怎么	ni zen me
你这	ni zhe
你这个	ni zhe ge
你真	ni zhen
你只	ni zhi
你知道	ni zhi dao
你自己	ni zi ji
年版	nian ban
年产	nian chan
年初	nian chu
年代	nian dai
年代初	nian dai chu
年底	nian di
年度	nian du
年度报告	nian du bao gao
年份	nian fen
年后	nian hou
年会	nian hui
年级	nian ji
年纪	nian ji
年间	nian jian
年检	nian jian
年来	nian lai
年龄	nian ling
年末	nian mo
年内	nian nei
年前	nian qian
